Rank,Driver,Wins,Points
1,Chase Elliott,4,922
2,Kyle Larson,2,788
3,Joey Logano,2,767
4,Ross Chastain,2,761
5,Kevin Harvick,2,690
6,William Byron,2,664
7,Tyler Reddick,2,602
8,Denny Hamlin,2,591
9,Christopher Bell,1,733
10,Kyle Busch,1,679
11,Alex Bowman,1,615
12,Daniel Suarez,1,614
13,Austin Cindric,1,580
14,Chase Briscoe,1,571
15,Kurt Busch,1,485
16,Ryan Blaney,0,779
