Rank,Driver,Points,Diff
1,Chase Elliott,922,
2,Kyle Larson,788,-134
3,Ryan Blaney,779,-143
4,Joey Logano,767,-155
5,Ross Chastain,761,-161
6,Martin Truex Jr,754,-168
7,Christopher Bell,733,-189
8,Kevin Harvick,690,-232
9,Kyle Busch,679,-243
10,William Byron,664,-258
11,Alex Bowman,615,-307
12,Daniel Suarez,614,-308
13,Tyler Reddick,602,-320
14,Denny Hamlin,591,-331
15,Austin Cindric,580,-342
16,Chase Briscoe,571,-351
17,Erik Jones,567,-355
18,Aric Almirola,560,-362
19,Austin Dillon,524,-398
20,Bubba Wallace,519,-403
21,Chris Buescher,512,-410
