Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,4,2,Brad Keselowski,Western Star / Alliance Parts   (Roger Penske),Ford,301,running,184,56,6
2,2,11,Denny Hamlin,FedEx Express   (Joe Gibbs),Toyota,301,running,92,54,1
3,11,19,Martin Truex Jr,Sport Clips   (Joe Gibbs),Toyota,301,running,0,46,0
4,9,22,Joey Logano,AAA Insurance   (Roger Penske),Ford,301,running,0,44,0
5,7,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,301,running,6,40,0
6,19,21,Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,301,running,0,32,0
7,1,10,Aric Almirola,Smithfield Hometown Original   (Stewart Haas Racing),Ford,301,running,2,38,0
8,14,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,301,running,0,29,0
9,3,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,301,running,9,30,0
10,13,8,Tyler Reddick,Feeding America   (Richard Childress),Chevrolet,301,running,0,27,0
11,16,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,301,running,0,32,0
12,20,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,301,running,0,25,0
13,23,3,Austin Dillon,Freightliner   (Richard Childress),Chevrolet,301,running,3,28,0
14,31,47,Ricky Stenhouse Jr,Kroger / Ball Park / Bush's / NOS   (JTG-Daugherty Racing),Chevrolet,301,running,0,23,0
15,8,88,Alex Bowman,ChevyGoods.com / Adam's Polishes   (Rick Hendrick),Chevrolet,301,running,0,22,0
16,30,37,Ryan Preece,Louisiana Hot Sauce   (JTG-Daugherty Racing),Chevrolet,301,running,0,23,0
17,10,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,301,running,0,20,0
18,6,14,Clint Bowyer,Haas Automation   (Stewart Haas Racing),Ford,301,running,0,28,0
19,18,34,Michael McDowell,Chicago Pneumatic   (Bob Jenkins),Ford,301,running,0,18,0
20,12,12,Ryan Blaney,Menards / TruWave Technology by Sylvania   (Roger Penske),Ford,301,running,5,22,0
21,22,6,Ryan Newman,Guaranteed Rate   (Jack Roush),Ford,300,running,0,16,0
22,25,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,300,running,0,15,0
23,15,43,Bubba Wallace,Cash App   (Richard Petty Motorsports),Chevrolet,300,running,0,4,0
24,17,20,Erik Jones,Toyota Camry   (Joe Gibbs),Toyota,300,running,0,13,0
25,24,17,Chris Buescher,Fastenal / Milwaukee   (Jack Roush),Ford,300,running,0,12,0
26,37,96,Daniel Suarez,Toyota Genuine Parts & Service   (Gaunt Brothers),Toyota,299,running,0,11,0
27,34,15,Brennan Poole,Remember Everyone Deployed   (Rick Ware),Chevrolet,299,running,0,10,0
28,35,95,Christopher Bell,Rheem / Watts   (Leavine Family Racing),Toyota,299,running,0,16,0
29,29,27,J.J. Yeley,Rick Ware Racing   (Rick Ware),Ford,299,running,0,0,0
30,26,53,James Davison,Signing Day Sports   (Rick Ware),Chevrolet,298,running,0,7,0
31,27,77,Garrett Smithley,Brackett's Market   (Spire Motorsports),Chevrolet,295,running,0,0,0
32,32,00,Quin Houff,Permatex   (StarCom Racing),Chevrolet,294,running,0,5,0
33,38,66,Timmy Hill,CrashClaimsR.us / James Carter Attorney   (Carl Long),Toyota,294,running,0,0,0
34,28,51,Joey Gase,Page Construction   (Rick Ware),Ford,293,running,0,0,0
35,33,32,Corey LaJoie,Trump 2020   (Archie St. Hilaire),Ford,262,running,0,-8,0
36,36,38,John H. Nemechek,Citgard   (Bob Jenkins),Ford,212,crash,0,1,0
37,21,42,Matt Kenseth,Clover   (Chip Ganassi),Chevrolet,203,crash,0,1,0
38,5,18,Kyle Busch,Pedigree   (Joe Gibbs),Toyota,15,crash,0,1,0
