Rank,Driver,Points,Diff
1,Kevin Harvick,803,
2,Brad Keselowski,722,-81
3,Denny Hamlin,688,-115
4,Ryan Blaney,685,-118
5,Chase Elliott,660,-143
6,Joey Logano,653,-150
7,Martin Truex Jr,648,-155
8,Aric Almirola,614,-189
9,Kurt Busch,581,-222
10,Kyle Busch,563,-240
11,Alex Bowman,561,-242
12,Clint Bowyer,512,-291
13,Matt DiBenedetto,509,-294
14,William Byron,484,-319
15,Tyler Reddick,469,-334
16,Austin Dillon,466,-337
17,Jimmie Johnson,459,-344
18,Erik Jones,453,-350
19,Cole Custer,381,-422
20,Michael McDowell,359,-444
21,Chris Buescher,357,-446
