Leader,From Lap,To Lap,# Of Laps
Aric Almirola,1,2,2
Brad Keselowski,3,57,55
Denny Hamlin,58,58,1
Brad Keselowski,59,60,2
Denny Hamlin,61,64,4
Ryan Blaney,65,69,5
Denny Hamlin,70,97,28
Kevin Harvick,98,103,6
Denny Hamlin,104,141,38
Brad Keselowski,142,142,1
Denny Hamlin,143,145,3
Brad Keselowski,146,172,27
Denny Hamlin,173,173,1
Austin Dillon,174,176,3
Brad Keselowski,177,183,7
Denny Hamlin,184,184,1
Brad Keselowski,185,191,7
Denny Hamlin,192,200,9
Brad Keselowski,201,204,4
Denny Hamlin,205,205,1
Chase Elliott,206,214,9
Denny Hamlin,215,220,6
Brad Keselowski,221,301,81
