Rank,Driver,Points,Diff
1,Christopher Bell,2089,
2,Austin Cindric,2086,-3
3,Alex Bowman,2084,-5
3,Joey Logano,2084,-5
5,Daniel Suarez,2079,-10
6,Chase Elliott,2073,-16
6,Tyler Reddick,2073,-16
8,Ryan Blaney,2072,-17
9,Kyle Larson,2069,-20
10,William Byron,2068,-21
11,Ty Gibbs,2049,-40
11,Chase Briscoe,2049,-40
13,Denny Hamlin,2043,-46
14,Brad Keselowski,2037,-52
15,Martin Truex Jr,2035,-54
16,Harrison Burton,2029,-60
17,Ross Chastain,739,-1350
18,Chris Buescher,731,-1358
19,Bubba Wallace,697,-1392
20,Kyle Busch,624,-1465
