Rank,Driver,Wins,Points
1,Kyle Larson,4,721
2,Martin Truex Jr,3,565
3,Alex Bowman,3,513
4,William Byron,1,655
5,Joey Logano,1,623
6,Chase Elliott,1,617
7,Kyle Busch,1,606
8,Ryan Blaney,1,548
9,Brad Keselowski,1,519
10,Christopher Bell,1,412
11,Michael McDowell,1,394
12,Denny Hamlin,0,729
13,Kevin Harvick,0,552
14,Austin Dillon,0,494
15,Tyler Reddick,0,444
16,Kurt Busch,0,413
