Rank,Driver,Points,Diff
1,Denny Hamlin,729,
2,Kyle Larson,721,-8
3,William Byron,655,-74
4,Joey Logano,623,-106
5,Chase Elliott,617,-112
6,Kyle Busch,606,-123
7,Martin Truex Jr,565,-164
8,Kevin Harvick,552,-177
9,Ryan Blaney,548,-181
10,Brad Keselowski,519,-210
11,Alex Bowman,513,-216
12,Austin Dillon,494,-235
13,Tyler Reddick,444,-285
14,Kurt Busch,413,-316
15,Christopher Bell,412,-317
16,Chris Buescher,409,-320
17,Michael McDowell,394,-335
18,Ricky Stenhouse Jr,371,-358
19,Daniel Suarez,358,-371
20,Matt DiBenedetto,351,-378
21,Ross Chastain,346,-383
