Rank,Driver,Wins,Points
1,Joey Logano,1,269
2,Martin Truex Jr,1,247
3,Kyle Larson,1,242
4,William Byron,1,228
5,Ryan Blaney,1,226
6,Christopher Bell,1,186
7,Michael McDowell,1,183
8,Denny Hamlin,0,327
9,Brad Keselowski,0,232
10,Kevin Harvick,0,225
11,Chase Elliott,0,211
12,Austin Dillon,0,186
13,Kyle Busch,0,183
14,Ricky Stenhouse Jr,0,180
15,Kurt Busch,0,173
16,Alex Bowman,0,172
