Rank,Driver,Points,Diff
1,Denny Hamlin,327,
2,Joey Logano,269,-58
3,Martin Truex Jr,247,-80
4,Kyle Larson,242,-85
5,Brad Keselowski,232,-95
6,William Byron,228,-99
7,Ryan Blaney,226,-101
8,Kevin Harvick,225,-102
9,Chase Elliott,211,-116
10,Christopher Bell,186,-141
10,Austin Dillon,186,-141
12,Michael McDowell,183,-144
12,Kyle Busch,183,-144
14,Ricky Stenhouse Jr,180,-147
15,Kurt Busch,173,-154
16,Alex Bowman,172,-155
17,Chris Buescher,168,-159
18,Ryan Preece,154,-173
19,Ryan Newman,149,-178
20,Daniel Suarez,144,-183
21,Bubba Wallace,136,-191
