Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,10,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,253,running,61,55,6
2,13,47,Ricky Stenhouse Jr,Kroger   (JTG-Daugherty Racing),Chevrolet,253,running,0,42,0
3,2,11,Denny Hamlin,FedEx Freight   (Joe Gibbs),Toyota,253,running,1,50,0
4,18,99,Daniel Suarez,Camping World   (Trackhouse Racing),Chevrolet,253,running,58,49,0
5,14,6,Ryan Newman,Oscar Mayer Cold Cuts   (Jack Roush),Ford,253,running,0,41,0
6,8,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,253,running,0,40,0
7,27,8,Tyler Reddick,Bet MGM   (Richard Childress),Chevrolet,253,running,0,32,0
8,3,12,Ryan Blaney,Advance My Truck Challenge   (Roger Penske),Ford,253,running,0,35,0
9,24,43,Erik Jones,Tide / Food City   (Richard Petty Motorsports),Chevrolet,253,running,0,31,0
10,26,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,253,running,0,28,0
11,20,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,253,running,0,26,0
12,16,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,253,running,0,25,0
13,12,21,Matt DiBenedetto,Menards / Quaker State   (Wood Brothers),Ford,253,running,0,24,0
14,11,17,Chris Buescher,Fastenal   (Jack Roush),Ford,253,running,0,24,0
15,6,4,Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,253,running,0,22,0
16,28,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,253,running,0,21,0
17,4,18,Kyle Busch,M&M's Messages   (Joe Gibbs),Toyota,253,running,7,20,0
18,22,37,Ryan Preece,Bush's Beans / Kroger   (JTG-Daugherty Racing),Chevrolet,253,running,0,19,0
19,5,19,Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,253,running,126,35,1
20,25,14,Chase Briscoe,HighPoint.com   (Stewart Haas Racing),Ford,252,running,0,17,0
21,9,3,Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,252,running,0,16,0
22,7,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,252,running,0,15,0
23,32,77,Stewart Friesen,Halmar International   (Spire Motorsports),Chevrolet,252,running,0,0,0
24,21,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,252,running,0,13,0
25,33,00,Quin Houff,Mane 'n Tail   (StarCom Racing),Chevrolet,252,running,0,12,0
26,39,96,Ty Dillon,Bass Pro Shops   (Gaunt Brothers),Toyota,252,running,0,0,0
27,19,23,Bubba Wallace,Door Dash   (23XI Racing),Toyota,251,running,0,18,0
28,34,53,J.J. Yeley,Jacob Companies   (Rick Ware),Chevrolet,249,running,0,0,0
29,1,5,Kyle Larson,Freightliner   (Rick Hendrick),Chevrolet,248,running,0,8,0
30,37,52,Josh Bilicki,Junction Fuels   (Rick Ware),Ford,247,running,0,7,0
31,38,66,Mike Marlar,LiftKits4Less.com   (Carl Long),Toyota,244,crash,0,6,0
32,31,51,Cody Ware,Nurtec ODT   (Rick Ware),Chevrolet,242,running,0,0,0
33,36,15,Chris Windom,NOS Energy Drink   (Rick Ware),Chevrolet,62,engine,0,4,0
34,15,20,Christopher Bell,"Irwin ""Trade Strong""   (Joe Gibbs)",Toyota,54,crash,0,3,0
35,17,42,Ross Chastain,Clover   (Chip Ganassi),Chevrolet,52,crash,0,2,0
36,23,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,39,crash,0,1,0
37,35,78,Shane Golobic,Elk Grove Ford / NOS Energy   (B.J. McLeod),Ford,39,crash,0,1,0
38,30,7,Corey LaJoie,NASCAR Trucks at Knoxville   (Spire Motorsports),Chevrolet,39,crash,0,1,0
39,29,38,Anthony Alfredo,Dude Wipes   (Bob Jenkins),Ford,39,crash,0,1,0
