Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,41,41,,
yellow_flag,42,45,4,"#10,7,38,77,78 accident backstretch",#00
green_flag,46,48,3,,
yellow_flag,49,50,2,"#6,24,4,14 accident backstretch",#18
green_flag,51,53,3,,
yellow_flag,54,59,6,"#5,20,4,42,14,47 accident turn 2",#66
green_flag,60,100,41,,
yellow_flag,101,101,1,end of stage 1,#14
green_flag,102,150,49,,
yellow_flag,151,151,1,competition,#3
green_flag,152,153,2,,
yellow_flag,154,158,5,"#00,3,5,12,18,34,37,48,51,53 accident frontstretch",none
green_flag,159,160,2,,
yellow_flag,161,169,9,"#2,14 accident frontstretch",#00
green_flag,170,186,17,,
yellow_flag,187,191,5,"#51,53 accident turn 3",#66
green_flag,192,200,9,,
yellow_flag,201,201,1,end of stage 2,#66
green_flag,202,246,45,,
yellow_flag,247,251,5,#66 spun frontstretch,#37
green_flag,252,253,2,,
Percent of race run under caution: 15.4%             Average green flag run: 19.5 laps
