Leader,From Lap,To Lap,# Of Laps
"Martin Truex, Jr.",1,32,32
Denny Hamlin,33,103,71
"Martin Truex, Jr.",104,136,33
Denny Hamlin,137,137,1
Joey Logano,138,138,1
Brad Keselowski,139,142,4
Austin Dillon,143,143,1
"Martin Truex, Jr.",144,183,40
Joey Logano,184,185,2
Brad Keselowski,186,206,21
Denny Hamlin,207,292,86
Joey Logano,293,293,1
"Martin Truex, Jr.",294,294,1
Denny Hamlin,295,334,40
Joey Logano,335,341,7
Denny Hamlin,342,342,1
Kyle Busch,343,343,1
"Martin Truex, Jr.",344,344,1
Joey Logano,345,382,38
Denny Hamlin,383,390,8
Alex Bowman,391,400,10
