Rank,Driver,Wins,Points
1,Martin Truex Jr,2,353
2,Joey Logano,1,352
3,William Byron,1,310
4,Ryan Blaney,1,304
5,Kyle Larson,1,299
6,Christopher Bell,1,257
7,Alex Bowman,1,236
8,Michael McDowell,1,199
9,Denny Hamlin,0,434
10,Chase Elliott,0,285
11,Kevin Harvick,0,273
12,Brad Keselowski,0,269
13,Kyle Busch,0,245
14,Austin Dillon,0,239
15,Ricky Stenhouse Jr,0,222
16,Kurt Busch,0,214
