Rank,Driver,Points,Diff
1,Denny Hamlin,434,
2,Martin Truex Jr,353,-81
3,Joey Logano,352,-82
4,William Byron,310,-124
5,Ryan Blaney,304,-130
6,Kyle Larson,299,-135
7,Chase Elliott,285,-149
8,Kevin Harvick,273,-161
9,Brad Keselowski,269,-165
10,Christopher Bell,257,-177
11,Kyle Busch,245,-189
12,Austin Dillon,239,-195
13,Alex Bowman,236,-198
14,Ricky Stenhouse Jr,222,-212
15,Kurt Busch,214,-220
16,Chris Buescher,204,-230
17,Michael McDowell,199,-235
18,Matt DiBenedetto,175,-259
19,Ryan Newman,174,-260
20,Bubba Wallace,168,-266
21,Ryan Preece,163,-271
