Leader,From Lap,To Lap,# Of Laps
Kyle Busch,1,22,22
Christopher Bell,23,23,1
Brad Keselowski,24,26,3
William Byron,27,85,59
Denny Hamlin,86,86,1
Kyle Busch,87,89,3
William Byron,90,123,34
Denny Hamlin,124,124,1
William Byron,125,193,69
Ross Chastain,194,194,1
Josh Berry,195,195,1
Brad Keselowski,196,200,5
Ross Chastain,201,253,53
Denny Hamlin,254,254,1
William Byron,255,285,31
Ross Chastain,286,329,44
Josh Berry,330,331,2
Martin Truex Jr,332,388,57
Denny Hamlin,389,389,1
Martin Truex Jr,390,400,11
