Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,21,21,,
yellow_flag,22,27,6,competition,none
green_flag,28,28,1,,
yellow_flag,29,33,5,#42 accident backstretch,none
green_flag,34,35,2,,
yellow_flag,36,41,6,"#99,77,78 accident frontstretch",#42
green_flag,42,81,40,,
yellow_flag,82,89,8,"#5,15,1 accident turn 1",#23
green_flag,90,121,32,,
yellow_flag,122,129,8,end of stage 1,#3
green_flag,130,251,122,,
yellow_flag,252,258,7,end of stage 2,#23
green_flag,259,387,129,,
yellow_flag,388,393,6,#22 accident turn 4,#45
green_flag,394,400,7,,
Percent of race run under caution: 11.5%             Average green flag run: 44.3 laps
