Rank,Driver,Wins,Points
1,Ross Chastain,0,370
2,Christopher Bell,1,367
3,Kevin Harvick,0,332
4,Martin Truex Jr,1,330
5,Ryan Blaney,0,326
6,Tyler Reddick,1,319
7,Denny Hamlin,0,317
8,Kyle Busch,2,306
9,Brad Keselowski,0,303
10,Kyle Larson,2,300
11,William Byron,2,297
12,Chris Buescher,0,277
13,Joey Logano,1,274
14,Ricky Stenhouse Jr,1,270
15,Chase Briscoe,0,250
16,Daniel Suarez,0,231
