Rank,Driver,Points,Diff
1,Ross Chastain,370,
2,Christopher Bell,367,-3
3,Kevin Harvick,332,-38
4,Martin Truex Jr,330,-40
5,Ryan Blaney,326,-44
6,Tyler Reddick,319,-51
7,Denny Hamlin,318,-52
8,Kyle Busch,306,-64
9,Brad Keselowski,303,-67
10,Kyle Larson,300,-70
11,William Byron,296,-74
12,Chris Buescher,277,-93
13,Joey Logano,274,-96
14,Ricky Stenhouse Jr,270,-100
14,Alex Bowman,270,-100
16,Chase Briscoe,250,-120
17,Daniel Suarez,231,-139
18,Ty Gibbs,228,-142
19,Austin Cindric,224,-146
20,Michael McDowell,217,-153
21,Bubba Wallace,216,-154
