Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,15,20,Erik Jones,Sport Clips Late Model Throwback   (Joe Gibbs),Toyota,367,running,79,48,5
2,3,42,Kyle Larson,Clover Ricky Craven Throwback   (Chip Ganassi),Chevrolet,367,running,44,49,0
3,33,18,Kyle Busch,Snickers 1990 Throwback   (Joe Gibbs),Toyota,367,running,118,51,1
4,11,4,Kevin Harvick,Busch Beer / Big Buck Hunter   (Stewart Haas Racing),Ford,367,running,0,34,0
5,2,2,Brad Keselowski,Miller Lite 1996 Throwback   (Roger Penske),Ford,367,running,19,38,0
6,13,14,Clint Bowyer,Rush Truck Centers / Mobil 1 '11 Throwback   (Stewart Haas Racing),Ford,367,running,1,36,0
7,4,1,Kurt Busch,Chevrolet Accessories / '69 Camaro Z28   (Chip Ganassi),Chevrolet,367,running,94,49,1
8,19,95,Matt DiBenedetto,No. 95 IMSA GTO Throwback   (Leavine Family Racing),Toyota,367,running,0,29,0
9,17,21,Paul Menard,Motorcraft Glen Wood '57 Throwback   (Wood Brothers),Ford,367,running,0,28,0
10,14,3,Austin Dillon,American Ethanol   (Richard Childress),Chevrolet,367,running,0,27,0
11,5,41,Daniel Suarez,Haas Tony Stewart '05 Championship   (Stewart Haas Racing),Ford,367,running,0,26,0
12,12,37,Chris Buescher,Kroger Fast Lane to Flavor   (JTG-Daugherty Racing),Chevrolet,367,running,0,25,0
13,10,12,Ryan Blaney,Menards / Pennzoil Michael Waltrip Throwback   (Roger Penske),Ford,366,running,0,24,0
14,7,22,Joey Logano,Shell / Pennzoil '07-'10 RCR Throwback   (Roger Penske),Ford,366,running,0,26,0
15,22,19,Martin Truex Jr,Bass Pro Shops '04 & '05 Busch Champ   (Joe Gibbs),Toyota,366,running,0,24,0
16,6,48,Jimmie Johnson,Ally Chevy Thunder Trophy Truck Throwback   (Rick Hendrick),Chevrolet,366,running,3,34,0
17,30,10,Aric Almirola,Smithfield Tony Stewart '02 Championship   (Stewart Haas Racing),Ford,366,running,0,20,0
18,16,88,Alex Bowman,Axalta Tim Richmond '86 Throwback   (Rick Hendrick),Chevrolet,365,running,0,19,0
19,8,9,Chase Elliott,NAPA 1981 Throwback   (Rick Hendrick),Chevrolet,365,running,9,23,0
20,29,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,365,running,0,17,0
21,1,24,William Byron,Hendrick Autoguard / City Chevrolet Throwback   (Rick Hendrick),Chevrolet,365,running,0,19,0
22,20,47,Ryan Preece,Kroger Ron Bouchard Throwback   (JTG-Daugherty Racing),Chevrolet,365,running,0,15,0
23,24,6,Ryan Newman,Oscar Mayer / Velveeta '93 Throwback   (Jack Roush),Ford,365,running,0,14,0
24,28,43,Bubba Wallace,Victory Junction Adam Petty Throwback   (Richard Petty Motorsports),Chevrolet,365,running,0,13,0
25,25,00,Landon Cassill,StarCom Fiber Sterling Marlin Throwback   (StarCom Racing),Chevrolet,364,running,0,0,0
26,26,38,David Ragan,Shriners Hospitals David Pearson Throwback   (Bob Jenkins),Ford,363,running,0,11,0
27,32,36,Matt Tifft,Hilliker Glass / Surface   (Bob Jenkins),Ford,362,running,0,10,0
28,31,15,Ross Chastain,Premium Motorsports   (Jay Robinson),Chevrolet,361,running,0,0,0
29,9,11,Denny Hamlin,FedEx 1991 Throwback   (Joe Gibbs),Toyota,356,running,0,22,0
30,34,77,Reed Sorenson,MRN 50th Anniversary Throwback   (Spire Motorsports),Chevrolet,355,running,0,7,0
31,37,27,Joe Nemechek,Premium Motorsports   (Jay Robinson),Chevrolet,354,running,0,0,0
32,35,52,J.J. Yeley,Jacob Companies Bill Blair '53 Throwback   (Rick Ware),Chevrolet,352,running,0,0,0
33,21,17,Ricky Stenhouse Jr,Dog's Most Wanted   (Jack Roush),Ford,351,running,0,4,0
34,39,66,Joey Gase,MBM Motorsports   (Carl Long),Toyota,349,running,0,0,0
35,38,54,Garrett Smithley,AQRE Lennie Pond '73 Throwback   (Rick Ware),Chevrolet,344,running,0,0,0
36,27,32,Corey LaJoie,KeenParts.com / CorvetteParts.net Throwback   (Archie St. Hilaire),Ford,330,running,0,1,0
37,18,8,Daniel Hemric,Caterpillar 1920's Throwback   (Richard Childress),Chevrolet,274,crash,0,1,0
38,23,34,Michael McDowell,Dockside Logistics Jimmy Means Throwback   (Bob Jenkins),Ford,274,crash,0,1,0
39,36,51,B.J. McLeod,Jacob Companies Stroker Ace Throwback   (Rick Ware),Chevrolet,194,crash,0,0,0
