Rank,Driver,Points,Diff
1,Kyle Busch,983,
2,Joey Logano,919,-64
3,Denny Hamlin,877,-106
4,Kevin Harvick,864,-119
5,Martin Truex Jr,862,-121
6,Brad Keselowski,832,-151
7,Kurt Busch,790,-193
8,Chase Elliott,780,-203
9,Kyle Larson,714,-269
10,Ryan Blaney,710,-273
11,Erik Jones,694,-289
11,Alex Bowman,694,-289
13,William Byron,683,-300
14,Aric Almirola,674,-309
15,Clint Bowyer,625,-358
16,Daniel Suarez,617,-366
16,Ryan Newman,617,-366
18,Jimmie Johnson,599,-384
19,Paul Menard,548,-435
20,Chris Buescher,531,-452
21,Ricky Stenhouse Jr,483,-500
