Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,36,36,,
yellow_flag,37,40,4,competition,#15
green_flag,41,68,28,,
yellow_flag,69,72,4,"#38,54 accident backstretch",#32
green_flag,73,101,29,,
yellow_flag,102,106,5,end of stage 1,#15
green_flag,107,141,35,,
yellow_flag,142,145,4,"#6,41 accident turn 2",#36
green_flag,146,158,13,,
yellow_flag,159,162,4,#32 spun turn 2,#6
green_flag,163,198,36,,
yellow_flag,199,206,8,"#36,51 accident turn 1",#38
green_flag,207,275,69,,
yellow_flag,276,281,6,"#1,8,11,24,34,48 accident turn 4",#3
green_flag,282,367,86,,
Percent of race run under caution: 9.5%             Average green flag run: 41.5 laps
