Rank,Driver,Wins,Points
1,Kyle Busch,4,605
2,Brad Keselowski,3,541
3,Martin Truex Jr,3,499
4,Joey Logano,2,614
5,Denny Hamlin,2,491
6,Chase Elliott,1,531
7,Kevin Harvick,0,539
8,Kurt Busch,0,485
9,Ryan Blaney,0,434
10,Alex Bowman,0,433
11,Aric Almirola,0,426
12,Clint Bowyer,0,404
13,Daniel Suarez,0,401
14,William Byron,0,383
15,Kyle Larson,0,369
16,Jimmie Johnson,0,364
