Leader,From Lap,To Lap,# Of Laps
Denny Hamlin,1,3,3
Joey Logano,4,53,50
Aric Almirola,54,54,1
Joey Logano,55,113,59
Ryan Blaney,114,114,1
Chase Elliott,115,115,1
Clint Bowyer,116,116,1
Austin Dillon,117,123,7
Joey Logano,124,127,4
Kevin Harvick,128,135,8
Joey Logano,136,141,6
Kevin Harvick,142,147,6
Joey Logano,148,148,1
Kevin Harvick,149,149,1
Joey Logano,150,174,25
Daniel Suarez,175,175,1
Brad Keselowski,176,181,6
Denny Hamlin,182,183,2
William Byron,184,185,2
Joey Logano,186,203,18
