Rank,Driver,Points,Diff
1,Joey Logano,614,
2,Kyle Busch,605,-9
3,Brad Keselowski,541,-73
4,Kevin Harvick,539,-75
5,Chase Elliott,531,-83
6,Martin Truex Jr,499,-115
7,Denny Hamlin,491,-123
8,Kurt Busch,485,-129
9,Ryan Blaney,434,-180
10,Alex Bowman,433,-181
11,Aric Almirola,426,-188
12,Clint Bowyer,404,-210
13,Daniel Suarez,401,-213
14,William Byron,383,-231
15,Kyle Larson,369,-245
16,Jimmie Johnson,364,-250
17,Ryan Newman,361,-253
18,Erik Jones,357,-257
19,Paul Menard,336,-278
20,Ricky Stenhouse Jr,326,-288
21,Austin Dillon,306,-308
