driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Erik Jones,15,6,1,1,16,7,10,58,48,46,79.3,8,364,99.2,23,6.3,367,107.5
Denny Hamlin,11,2,2,1,21,5,13,77,64,59,76.6,22,366,99.7,6,1.6,367,117.6
Tyler Reddick,4,9,3,2,20,8,11,79,68,56,70.9,9,339,92.4,0,0.0,367,99.9
Joey Logano,1,10,4,1,19,7,-4,75,79,51,68.0,25,363,98.9,64,17.4,367,108.7
Christopher Bell,2,5,5,1,15,6,-4,54,58,44,81.5,11,367,100.0,0,0.0,367,109.3
Michael McDowell,10,13,6,5,24,11,22,96,74,60,62.5,6,330,89.9,0,0.0,367,88.4
Brad Keselowski,25,19,7,1,32,16,4,99,95,27,27.3,4,124,33.8,11,3.0,367,77.0
William Byron,3,3,8,1,17,5,-1,61,62,50,82.0,24,366,99.7,50,13.6,367,113.3
Bubba Wallace,8,17,9,1,20,10,-8,80,88,53,66.3,3,336,91.6,4,1.1,367,86.7
Alex Bowman,16,15,10,3,23,13,0,78,78,50,64.1,1,296,80.7,0,0.0,367,83.1
Aric Almirola,22,21,11,11,28,20,8,71,63,5,7.0,2,24,6.5,0,0.0,367,67.0
Kyle Larson,7,28,12,6,35,21,-10,80,90,32,40.0,11,146,39.8,0,0.0,367,78.5
Ryan Blaney,9,7,13,3,25,9,1,83,82,59,71.1,2,363,98.9,0,0.0,367,89.1
Cole Custer,30,12,14,6,30,15,-4,93,97,38,40.9,2,212,57.8,0,0.0,367,73.8
Ty Gibbs,21,18,15,2,34,19,8,140,132,33,23.6,3,109,29.7,0,0.0,367,62.8
Austin Cindric,6,14,16,5,25,15,-16,71,87,24,33.8,2,163,44.4,0,0.0,367,71.8
Austin Dillon,13,20,17,6,32,21,-8,64,72,0,0.0,1,8,2.2,0,0.0,367,55.7
Daniel Suarez,36,11,18,4,36,17,20,111,91,27,24.3,11,140,38.1,0,0.0,367,72.1
Justin Haley,14,25,19,11,30,22,-1,73,74,3,4.1,0,18,4.9,0,0.0,366,56.5
Ross Chastain,12,32,20,1,33,18,-22,68,90,32,47.1,49,159,43.4,1,0.3,366,88.8
Harrison Burton,28,23,21,14,33,24,-2,88,90,6,6.8,1,4,1.1,0,0.0,366,48.2
Ty Dillon,29,22,22,18,33,26,-4,94,98,0,0.0,1,0,0.0,0,0.0,366,46.2
Daniel Hemric,24,26,23,20,35,27,-3,67,70,0,0.0,0,0,0.0,0,0.0,365,40.8
Corey LaJoie,34,16,24,1,36,20,-2,82,84,7,8.5,1,51,14.0,4,1.1,365,55.2
Landon Cassill,26,24,25,1,35,27,-9,65,74,0,0.0,8,2,0.5,1,0.3,365,39.0
Chris Buescher,27,27,26,20,36,28,-2,78,80,0,0.0,2,0,0.0,0,0.0,365,38.6
Chase Briscoe,19,31,27,18,33,29,-13,47,60,0,0.0,0,0,0.0,0,0.0,363,38.8
Todd Gilliland,31,34,28,8,34,28,3,70,67,2,2.9,1,2,0.6,0,0.0,363,43.6
B.J. McLeod,35,33,29,2,36,33,4,29,25,0,0.0,0,2,0.6,0,0.0,361,28.8
Kyle Busch,5,1,30,1,11,4,8,39,31,26,66.7,35,345,100.0,155,44.9,345,114.8
Martin Truex Jr,17,4,31,1,24,8,-2,80,82,47,58.8,46,314,93.5,48,14.3,336,98.8
Cody Ware,32,30,32,10,35,32,-9,52,61,2,3.8,0,1,0.3,0,0.0,331,29.2
Kevin Harvick,18,8,33,4,36,20,24,62,38,15,24.2,0,127,46.4,0,0.0,274,57.8
J.J. Yeley,33,29,34,28,35,33,1,20,19,0,0.0,0,0,0.0,0,0.0,236,28.3
Ricky Stenhouse Jr,20,35,35,11,36,32,-15,12,27,1,8.3,6,1,0.6,0,0.0,164,36.9
Chase Elliott,23,36,36,12,28,30,8,35,27,9,25.7,0,63,55.8,0,0.0,113,41.0
