Rank,Driver,Points,Diff
1,Joey Logano,2065,
2,William Byron,2059,-6
3,Denny Hamlin,2057,-8
4,Christopher Bell,2055,-10
5,Tyler Reddick,2050,-15
6,Ryan Blaney,2047,-18
7,Kyle Larson,2044,-21
8,Ross Chastain,2042,-23
9,Chase Elliott,2041,-24
10,Alex Bowman,2037,-28
11,Kyle Busch,2035,-30
12,Daniel Suarez,2029,-36
13,Austin Cindric,2027,-38
14,Austin Dillon,2025,-40
15,Chase Briscoe,2019,-46
16,Kevin Harvick,2016,-49
17,Martin Truex Jr,819,-1246
18,Erik Jones,634,-1431
19,Aric Almirola,602,-1463
20,Bubba Wallace,584,-1481
21,Chris Buescher,533,-1532
