Rank,Driver,Wins,Points
1,Chase Briscoe,1,156
2,William Byron,1,150
3,Alex Bowman,1,140
4,Kyle Larson,1,135
5,Austin Cindric,1,121
6,Chase Elliott,0,171
7,Joey Logano,0,164
8,Ryan Blaney,0,148
8,Kurt Busch,0,148
10,Aric Almirola,0,144
11,Martin Truex Jr,0,142
12,Ross Chastain,0,137
13,Kyle Busch,0,136
14,Kevin Harvick,0,127
14,Daniel Suarez,0,127
16,Tyler Reddick,0,126
