Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,24,24,,
yellow_flag,25,30,6,#16 accident turn 2,none
green_flag,31,46,16,,
yellow_flag,47,51,5,competition,none
green_flag,52,95,44,,
yellow_flag,96,100,5,#1 accident turn 1,#51
green_flag,101,101,1,,
yellow_flag,102,110,9,"#3,14,18,42 accident frontstretch",none
green_flag,111,145,35,,
yellow_flag,146,153,8,"#2,5,7,8,11,20,21,22,34,38,45,48 accident frontstretch",#1
green_flag,154,156,3,,
yellow_flag,157,161,5,debris frontstretch,#1
green_flag,162,201,40,,
yellow_flag,202,207,6,"#2,4,43.47,99 accident turn 4",#22
green_flag,208,209,2,,
yellow_flag,210,216,7,"#5,9,11 accident frontstretch",#48
green_flag,217,254,38,,
yellow_flag,255,259,5,debris turns 3/4,#15
green_flag,260,301,42,,
yellow_flag,302,306,5,"#38,51 accident turn 2",#4
green_flag,307,308,2,,
yellow_flag,309,312,4,"#10,99 accident frontstretch",#4
green_flag,313,325,13,,
Percent of race run under caution: 20.0%             Average green flag run: 21.7 laps
