Leader,From Lap,To Lap,# Of Laps
Ryan Blaney,1,1,1
Chase Briscoe,2,6,5
Kyle Busch,7,12,6
Chase Elliott,13,15,3
Kyle Busch,16,30,15
Ross Chastain,31,34,4
William Byron,35,40,6
Ross Chastain,41,42,2
William Byron,43,45,3
Ross Chastain,46,46,1
Ryan Blaney,47,48,2
Joey Logano,49,50,2
Denny Hamlin,51,51,1
Joey Logano,52,54,3
Ross Chastain,55,64,10
Joey Logano,65,69,5
Ross Chastain,70,94,25
William Byron,95,105,11
Christopher Bell,106,121,16
Kevin Harvick,122,124,3
"Martin Truex, Jr.",125,125,1
Joey Logano,126,127,2
Kurt Busch,128,129,2
"Ricky Stenhouse, Jr.",130,130,1
Kurt Busch,131,132,2
"Ricky Stenhouse, Jr.",133,137,5
Justin Haley,138,138,1
Tyler Reddick,139,143,5
William Byron,144,148,5
B.J. McLeod,149,150,2
William Byron,151,153,3
Kevin Harvick,154,161,8
William Byron,162,183,22
Ryan Blaney,184,184,1
"Ricky Stenhouse, Jr.",185,200,16
Ryan Blaney,201,207,7
Kyle Larson,208,208,1
Ryan Blaney,209,212,4
Daniel Suarez,213,224,12
"Martin Truex, Jr.",225,228,4
Chase Elliott,229,254,26
Daniel Suarez,255,255,1
Aric Almirola,256,261,6
William Byron,262,312,51
Bubba Wallace,313,315,3
William Byron,316,325,10
