Rank,Driver,Points,Diff
1,Chase Elliott,171,
2,Joey Logano,164,-7
3,Chase Briscoe,156,-15
4,William Byron,150,-21
5,Kurt Busch,148,-23
5,Ryan Blaney,148,-23
7,Aric Almirola,144,-27
8,Martin Truex Jr,142,-29
9,Alex Bowman,140,-31
10,Ross Chastain,137,-34
11,Kyle Busch,136,-35
12,Kyle Larson,135,-36
13,Daniel Suarez,127,-44
13,Kevin Harvick,127,-44
15,Tyler Reddick,126,-45
16,Austin Cindric,121,-50
17,Bubba Wallace,120,-51
18,Erik Jones,115,-56
19,Chris Buescher,113,-58
20,Austin Dillon,99,-72
21,Justin Haley,94,-77
