Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,10,10,,
yellow_flag,11,15,5,rain,#00
green_flag,16,23,8,,
yellow_flag,24,27,4,#18 accident turn 1,#78
green_flag,28,81,54,,
yellow_flag,82,86,5,end of stage 1,#96
green_flag,87,161,75,,
yellow_flag,162,167,6,end of stage 2,#20
green_flag,168,173,6,,
yellow_flag,174,178,5,#38 accident frontstretch,#42
green_flag,179,218,40,,
yellow_flag,219,222,4,#6 spun turn 2,#17
green_flag,223,224,2,,
yellow_flag,225,228,4,"#3,12 accident turn 2",#34
green_flag,229,267,39,,
Percent of race run under caution: 12.4%             Average green flag run: 29.3 laps
