Rank,Driver,Points,Diff
1,Kyle Larson,4181,
2,Chase Elliott,4107,-74
3,Denny Hamlin,4105,-76
4,Kyle Busch,4074,-107
5,Ryan Blaney,4073,-108
6,Martin Truex Jr,4071,-110
7,Brad Keselowski,4068,-113
8,Joey Logano,4048,-133
9,Kevin Harvick,2293,-1888
10,Kurt Busch,2243,-1938
11,William Byron,2233,-1948
12,Christopher Bell,2227,-1954
13,Tyler Reddick,2213,-1968
14,Alex Bowman,2169,-2012
15,Aric Almirola,2147,-2034
16,Michael McDowell,2128,-2053
17,Austin Dillon,885,-3296
18,Chris Buescher,731,-3450
19,Matt DiBenedetto,727,-3454
20,Ross Chastain,696,-3485
21,Bubba Wallace,686,-3495
