Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,1,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,267,running,130,58,6
2,5,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,267,running,42,52,0
3,11,4,Kevin Harvick,Subway Delivery   (Stewart Haas Racing),Ford,267,running,0,45,0
4,13,1,Kurt Busch,Advent Health   (Chip Ganassi),Chevrolet,267,running,4,47,0
5,6,11,Denny Hamlin,FedEx Freight   (Joe Gibbs),Toyota,267,running,0,41,0
6,9,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,267,running,57,50,1
7,7,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,267,running,0,30,0
8,10,20,Christopher Bell,Craftsman   (Joe Gibbs),Toyota,267,running,0,29,0
9,8,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,267,running,22,28,0
10,14,3,Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,267,running,0,27,0
11,25,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,267,running,0,34,0
12,21,17,Chris Buescher,Fastenal   (Jack Roush),Ford,267,running,0,25,0
13,24,42,Ross Chastain,Clover   (Chip Ganassi),Chevrolet,267,running,0,28,0
14,27,23,Bubba Wallace,Door Dash   (23XI Racing),Toyota,267,running,0,25,0
15,16,99,Daniel Suarez,Good Sam   (Trackhouse Racing),Chevrolet,267,running,0,22,0
16,18,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,266,running,0,21,0
17,3,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,266,running,2,20,0
18,22,41,Cole Custer,Feeding America / Wow Wow   (Stewart Haas Racing),Ford,266,running,0,19,0
19,19,14,Chase Briscoe,DeKalb   (Stewart Haas Racing),Ford,266,running,0,18,0
20,40,96,Parker Kligerman,Fast Checkout   (Gaunt Brothers),Toyota,266,running,0,0,0
21,32,37,Ryan Preece,Louisiana Hot Sauce   (JTG-Daugherty Racing),Chevrolet,265,running,0,16,0
22,12,8,Tyler Reddick,Cat Dealer Tech   (Richard Childress),Chevrolet,265,running,6,21,0
23,15,21,Matt DiBenedetto,Menards / Monster   (Wood Brothers),Ford,265,running,4,14,0
24,28,47,Ricky Stenhouse Jr,Bush's Beans   (JTG-Daugherty Racing),Chevrolet,265,running,0,13,0
25,23,7,Corey LaJoie,Circle B Diecast   (Spire Motorsports),Chevrolet,263,running,0,12,0
26,20,10,Aric Almirola,Farmland / Hy-Vee   (Stewart Haas Racing),Ford,263,running,0,11,0
27,31,6,Ryan Newman,Violet Defense   (Jack Roush),Ford,263,running,0,10,0
28,4,18,Kyle Busch,M&M's Halloween   (Joe Gibbs),Toyota,261,running,0,11,0
29,17,43,Erik Jones,Petty's Garage   (Richard Petty Motorsports),Chevrolet,260,running,0,8,0
30,26,78,B.J. McLeod,NASCAR Ignition   (B.J. McLeod),Ford,259,running,0,0,0
31,36,51,Cody Ware,Nurtec ODT   (Rick Ware),Chevrolet,258,running,0,0,0
32,39,53,Joey Gase,Donor Network   (Rick Ware),Chevrolet,256,running,0,0,0
33,30,52,Josh Bilicki,Tailgreeter   (Rick Ware),Ford,256,running,0,0,0
34,38,13,David Starr,Brown & Brown Dealer Services   (Carl Long),Ford,255,running,0,0,0
35,35,00,Quin Houff,Creek / Chariton   (StarCom Racing),Chevrolet,255,running,0,2,0
36,34,15,Ryan Ellis,Arrowhead Brass   (Rick Ware),Chevrolet,254,running,0,0,0
37,2,12,Ryan Blaney,Menards / Cardell Cabinetry   (Roger Penske),Ford,224,crash,0,1,0
38,29,38,Anthony Alfredo,Speedy Cash   (Bob Jenkins),Ford,171,crash,0,1,0
39,33,77,Justin Haley,Circle B Diecast   (Spire Motorsports),Chevrolet,165,engine,0,0,0
40,37,66,Chad Finchum,Smithbilt Homes   (Carl Long),Toyota,47,handling,0,0,0
