Leader,From Lap,To Lap,# Of Laps
Kyle Larson,1,14,14
Brad Keselowski,15,16,2
Kyle Larson,17,24,8
Matt DiBenedetto,25,27,3
Kyle Larson,28,28,1
Matt DiBenedetto,29,29,1
Kyle Larson,30,32,3
Chase Elliott,33,34,2
William Byron,35,36,2
Kyle Larson,37,87,51
Chase Elliott,88,121,34
William Byron,122,122,1
Kurt Busch,123,123,1
Joey Logano,124,145,22
William Byron,146,163,18
Kyle Larson,164,167,4
William Byron,168,169,2
Kyle Larson,170,172,3
Tyler Reddick,173,178,6
Kyle Larson,179,185,7
William Byron,186,219,34
Kurt Busch,220,222,3
Chase Elliott,223,228,6
Kyle Larson,229,267,39
