Rank,Driver,Points,Diff
1,William Byron,2075,
2,Kyle Larson,2074,-1
3,Tyler Reddick,2060,-15
4,Denny Hamlin,2057,-18
4,Chris Buescher,2057,-18
6,Martin Truex Jr,2055,-20
7,Kyle Busch,2050,-25
8,Brad Keselowski,2048,-27
9,Ryan Blaney,2046,-29
10,Ross Chastain,2043,-32
11,Joey Logano,2033,-42
12,Christopher Bell,2031,-44
13,Bubba Wallace,2030,-45
14,Kevin Harvick,2029,-46
15,Ricky Stenhouse Jr,2027,-48
16,Michael McDowell,2012,-63
17,Ty Gibbs,583,-1492
18,Daniel Suarez,576,-1499
19,Chase Elliott,559,-1516
20,A.J. Allmendinger,550,-1525
