Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,116,116,,
yellow_flag,117,122,6,"#22,23 accident turn 4",#1
green_flag,123,179,57,,
yellow_flag,180,191,12,,#22
green_flag,192,216,25,,
yellow_flag,217,221,5,#78 stopped on track,#47
green_flag,222,225,4,,
yellow_flag,226,229,4,"#2,54 accident turn 2",#7
green_flag,230,231,2,,
yellow_flag,232,236,5,end of stage 2,#31
green_flag,237,310,74,,
yellow_flag,311,316,6,#51 spun turn 4,#47
green_flag,317,319,3,,
yellow_flag,320,327,8,"#99,21,48 accident turn 1",#19
green_flag,328,331,4,,
yellow_flag,332,336,5,"#8,34,38,11,20 accident frontstretch",none
green_flag,337,367,31,,
Percent of race run under caution: 13.9%             Average green flag run: 35.1 laps
