Rank,Driver,Points,Diff
1,Kevin Harvick,2106,
2,Denny Hamlin,2087,-19
3,Joey Logano,2060,-46
4,Brad Keselowski,2055,-51
5,Alex Bowman,2052,-54
6,Martin Truex Jr,2049,-57
7,Chase Elliott,2045,-61
8,Austin Dillon,2043,-63
9,William Byron,2042,-64
10,Kyle Busch,2040,-66
11,Kurt Busch,2037,-69
12,Clint Bowyer,2033,-73
12,Aric Almirola,2033,-73
14,Cole Custer,2030,-76
15,Ryan Blaney,2016,-90
15,Matt DiBenedetto,2016,-90
17,Jimmie Johnson,694,-1412
18,Erik Jones,630,-1476
19,Tyler Reddick,593,-1513
20,Christopher Bell,489,-1617
21,Chris Buescher,488,-1618
