Leader,From Lap,To Lap,# Of Laps
Chase Elliott,1,71,71
Denny Hamlin,72,72,1
Kurt Busch,73,74,2
Chase Elliott,75,83,9
Kurt Busch,84,85,2
"Martin Truex, Jr.",86,117,32
Chase Elliott,118,118,1
"Martin Truex, Jr.",119,172,54
Kurt Busch,173,173,1
Kevin Harvick,174,181,8
Alex Bowman,182,182,1
"Martin Truex, Jr.",183,231,49
Denny Hamlin,232,247,16
"Martin Truex, Jr.",248,306,59
Denny Hamlin,307,308,2
Kevin Harvick,309,319,11
Chase Elliott,320,352,33
"Martin Truex, Jr.",353,354,2
Kevin Harvick,355,367,13
