Rank,Driver,Wins,Points
1,Kyle Busch,4,932
2,Denny Hamlin,4,855
3,Martin Truex Jr,4,838
4,Brad Keselowski,3,794
5,Joey Logano,2,893
6,Kevin Harvick,2,830
7,Chase Elliott,2,757
8,Kurt Busch,1,741
9,Alex Bowman,1,675
10,Ryan Blaney,0,686
11,Kyle Larson,0,665
12,William Byron,0,664
13,Aric Almirola,0,654
14,Erik Jones,0,646
15,Ryan Newman,0,603
16,Daniel Suarez,0,591
