Rank,Driver,Points,Diff
1,Kyle Busch,932,
2,Joey Logano,893,-39
3,Denny Hamlin,855,-77
4,Martin Truex Jr,838,-94
5,Kevin Harvick,830,-102
6,Brad Keselowski,794,-138
7,Chase Elliott,757,-175
8,Kurt Busch,741,-191
9,Ryan Blaney,686,-246
10,Alex Bowman,675,-257
11,Kyle Larson,665,-267
12,William Byron,664,-268
13,Aric Almirola,654,-278
14,Erik Jones,646,-286
15,Ryan Newman,603,-329
16,Daniel Suarez,591,-341
17,Clint Bowyer,589,-343
18,Jimmie Johnson,565,-367
19,Paul Menard,520,-412
20,Chris Buescher,506,-426
21,Ricky Stenhouse Jr,479,-453
