Leader,From Lap,To Lap,# Of Laps
Denny Hamlin,1,14,14
Kyle Larson,15,23,9
Denny Hamlin,24,38,15
Kyle Larson,39,45,7
Denny Hamlin,46,83,38
Kyle Larson,84,129,46
Brad Keselowski,130,130,1
Chase Elliott,131,163,33
Kevin Harvick,164,191,28
Brad Keselowski,192,192,1
"Martin Truex, Jr.",193,244,52
Kurt Busch,245,253,9
Kyle Busch,254,264,11
Brad Keselowski,265,349,85
Kyle Busch,350,350,1
Brad Keselowski,351,351,1
Kyle Busch,352,352,1
Brad Keselowski,353,354,2
Kyle Busch,355,365,11
Brad Keselowski,366,366,1
Kyle Busch,367,372,6
Erik Jones,373,395,23
Matt DiBenedetto,396,488,93
Denny Hamlin,489,500,12
