Rank,Driver,Points,Diff
1,Kyle Larson,953,
2,Denny Hamlin,931,-22
3,Kyle Busch,796,-157
4,William Byron,790,-163
5,Chase Elliott,784,-169
6,Joey Logano,763,-190
7,Martin Truex Jr,762,-191
8,Ryan Blaney,747,-206
9,Kevin Harvick,733,-220
10,Brad Keselowski,696,-257
11,Tyler Reddick,666,-287
12,Alex Bowman,653,-300
13,Austin Dillon,638,-315
14,Kurt Busch,607,-346
15,Christopher Bell,572,-381
16,Matt DiBenedetto,521,-432
17,Chris Buescher,520,-433
18,Ross Chastain,490,-463
19,Michael McDowell,480,-473
20,Ricky Stenhouse Jr,479,-474
21,Bubba Wallace,464,-489
