Rank,Driver,Wins,Points
1,Kyle Larson,5,953
2,Martin Truex Jr,3,762
3,Alex Bowman,3,653
4,Kyle Busch,2,796
5,Chase Elliott,2,784
6,William Byron,1,790
7,Joey Logano,1,763
8,Ryan Blaney,1,747
9,Brad Keselowski,1,696
10,Kurt Busch,1,607
11,Christopher Bell,1,572
12,Michael McDowell,1,480
13,Aric Almirola,1,416
14,Denny Hamlin,0,931
15,Kevin Harvick,0,733
16,Tyler Reddick,0,666
