Rank,Driver,Wins,Points
1,Martin Truex Jr,2,525
2,William Byron,3,512
3,Ross Chastain,0,501
3,Ryan Blaney,1,501
5,Kevin Harvick,0,500
6,Kyle Busch,3,496
7,Christopher Bell,1,493
8,Denny Hamlin,1,462
9,Joey Logano,1,444
10,Kyle Larson,2,440
11,Chris Buescher,0,430
12,Brad Keselowski,0,424
13,Tyler Reddick,1,420
14,Ricky Stenhouse Jr,1,400
15,Bubba Wallace,0,354
16,Alex Bowman,0,331
