Rank,Driver,Points,Diff
1,Martin Truex Jr,525,
2,William Byron,511,-14
3,Ryan Blaney,501,-24
3,Ross Chastain,501,-24
5,Kevin Harvick,500,-25
6,Kyle Busch,496,-29
7,Christopher Bell,493,-32
8,Denny Hamlin,463,-62
9,Joey Logano,444,-81
10,Kyle Larson,440,-85
11,Chris Buescher,430,-95
12,Brad Keselowski,424,-101
13,Tyler Reddick,420,-105
14,Ricky Stenhouse Jr,400,-125
15,Bubba Wallace,354,-171
16,Alex Bowman,331,-194
17,Daniel Suarez,328,-197
18,Ty Gibbs,320,-205
19,Michael McDowell,317,-208
20,A.J. Allmendinger,298,-227
21,Austin Cindric,292,-233
