Rank,Driver,Wins,Points
1,Christopher Bell,1,302
2,Ross Chastain,0,297
3,Kevin Harvick,0,287
4,Kyle Larson,2,285
5,Martin Truex Jr,0,266
6,Tyler Reddick,1,265
7,Joey Logano,1,258
8,Kyle Busch,1,250
9,Denny Hamlin,0,247
10,Ryan Blaney,0,241
11,Alex Bowman,0,237
12,Brad Keselowski,0,235
13,Ricky Stenhouse Jr,1,223
14,Chase Briscoe,0,210
15,William Byron,2,208
16,Chris Buescher,0,206
