Rank,Driver,Points,Diff
1,Christopher Bell,302,
2,Ross Chastain,297,-5
3,Kevin Harvick,287,-15
4,Kyle Larson,285,-17
5,Martin Truex Jr,266,-36
6,Tyler Reddick,265,-37
7,Joey Logano,258,-44
8,Kyle Busch,250,-52
9,Denny Hamlin,248,-54
10,Ryan Blaney,241,-61
11,Alex Bowman,237,-65
12,Brad Keselowski,235,-67
13,Ricky Stenhouse Jr,223,-79
14,Chase Briscoe,210,-92
15,William Byron,207,-95
16,Chris Buescher,206,-96
17,Daniel Suarez,200,-102
17,Michael McDowell,200,-102
19,Austin Cindric,197,-105
20,Ty Gibbs,193,-109
21,Bubba Wallace,175,-127
