Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,81,81,,
yellow_flag,82,91,10,end of stage 1,#22
green_flag,92,133,42,,
yellow_flag,134,142,9,#21 spun turn 2,#51
green_flag,143,181,39,,
yellow_flag,182,192,11,end of stage 2,#21
green_flag,193,303,111,,
yellow_flag,304,312,9,debris frontstretch,#12
green_flag,313,343,31,,
yellow_flag,344,354,11,#15 accident turn 3,#8
green_flag,355,400,46,,
Percent of race run under caution: 12.5%             Average green flag run: 58.3 laps
