Rank,Driver,Points,Diff
1,Kyle Larson,749,
2,Chase Elliott,739,-10
3,Tyler Reddick,734,-15
4,Denny Hamlin,706,-43
5,Ryan Blaney,676,-73
6,William Byron,654,-95
7,Martin Truex Jr,653,-96
8,Christopher Bell,651,-98
9,Brad Keselowski,615,-134
10,Alex Bowman,606,-143
11,Ty Gibbs,587,-162
12,Chris Buescher,562,-187
13,Ross Chastain,552,-197
14,Bubba Wallace,545,-204
15,Joey Logano,525,-224
16,Chase Briscoe,469,-280
17,Daniel Suarez,460,-289
18,Kyle Busch,440,-309
19,Austin Cindric,438,-311
20,Todd Gilliland,434,-315
21,Michael McDowell,404,-345
