Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,51,51,,
yellow_flag,52,55,4,end of stage 1,#33
green_flag,56,69,14,,
yellow_flag,70,73,4,debris backstretch,#6
green_flag,74,74,1,,
yellow_flag,75,78,4,"#24,16,21 accident backstretch",#2
green_flag,79,101,23,,
yellow_flag,102,104,3,end of stage 2,#38
green_flag,105,105,1,,
yellow_flag,106,109,4,"#19,4,54 accident turn 3",#15
green_flag,110,110,1,,
yellow_flag,111,114,4,"#84,22,77,12,3 accident turn 1",#15
green_flag,115,125,11,,
yellow_flag,126,129,4,#19 accident turn 3,#51
green_flag,130,158,29,,
yellow_flag,159,161,3,"#8,11 accident turn 3",#17
green_flag,162,162,1,,
yellow_flag,163,165,3,"#11,42,14,48,31 accident 1 [red flag 00:17:08]",#17
green_flag,166,166,1,,
yellow_flag,167,167,1,,none
Percent of race run under caution: 20.4%             Average green flag run: 13.3 laps
