driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Kyle Larson,4,4,1,1,14,3,11,70,59,58,82.9,28,268,100.0,63,23.5,268,134.7
Chris Buescher,12,1,2,1,30,6,12,73,61,41,56.2,11,235,87.7,54,20.1,268,123.1
Chase Elliott,9,11,3,3,28,12,14,124,110,77,62.1,10,255,95.1,0,0.0,268,95.8
Martin Truex Jr,13,5,4,2,34,7,23,96,73,50,52.1,15,261,97.4,0,0.0,268,108.0
Denny Hamlin,14,6,5,1,28,6,12,107,95,74,69.2,23,248,92.5,71,26.5,268,124.6
Christopher Bell,1,9,6,1,18,8,1,71,70,53,74.6,3,263,98.1,5,1.9,268,105.8
Alex Bowman,18,7,7,5,35,13,14,118,104,56,47.5,2,176,65.7,0,0.0,268,86.5
Kyle Busch,5,2,8,1,23,5,13,71,58,45,63.4,14,259,96.6,14,5.2,268,108.4
Noah Gragson,3,8,9,3,23,10,-14,84,98,58,69.0,2,238,88.8,0,0.0,268,94.8
Michael McDowell,8,14,10,5,30,13,-20,79,99,32,40.5,0,227,84.7,0,0.0,268,86.5
Brad Keselowski,30,13,11,1,31,16,59,154,95,43,27.9,19,130,48.5,1,0.4,268,86.5
Ryan Blaney,26,17,12,4,33,17,11,137,126,25,18.2,0,98,36.6,0,0.0,268,79.7
John H. Nemechek,29,34,13,8,36,24,17,116,99,10,8.6,1,33,12.3,0,0.0,268,65.1
Todd Gilliland,25,23,14,1,37,20,14,106,92,7,6.6,5,67,25.0,4,1.5,268,71.1
Josh Berry,17,27,15,5,36,25,-4,103,107,5,4.9,1,21,7.8,0,0.0,268,55.8
Ricky Stenhouse Jr,21,19,16,7,31,19,13,114,101,15,13.2,4,36,13.4,0,0.0,268,65.3
Bubba Wallace,23,20,17,2,35,17,-11,111,122,23,20.7,4,65,24.3,0,0.0,268,68.7
Justin Haley,35,26,18,3,37,23,3,128,125,17,13.3,1,67,25.0,0,0.0,268,60.9
Ross Chastain,2,10,19,1,25,9,-18,90,108,58,64.4,7,206,76.9,43,16.0,268,89.3
Tyler Reddick,15,15,20,1,34,13,7,128,121,62,48.4,18,220,82.1,7,2.6,268,75.3
Chase Briscoe,10,31,21,3,36,27,-31,84,115,6,7.1,0,22,8.2,0,0.0,268,44.0
Corey Heim,20,37,22,6,38,31,-14,93,107,2,2.2,1,4,1.5,0,0.0,268,53.6
William Byron,36,12,23,7,36,16,27,127,100,29,22.8,3,131,48.9,0,0.0,268,69.6
Carson Hocevar,22,18,24,3,30,18,-2,118,120,32,27.1,1,78,29.1,0,0.0,268,63.1
Austin Dillon,16,22,25,4,30,22,-21,99,120,7,7.1,0,12,4.5,0,0.0,268,52.8
Corey LaJoie,28,28,26,8,33,25,-17,96,113,16,16.7,1,21,7.8,0,0.0,268,47.9
Daniel Suarez,27,30,27,15,34,29,-18,93,111,0,0.0,0,1,0.4,0,0.0,268,38.7
Ryan Preece,32,29,28,15,38,30,-17,63,80,3,4.8,0,0,0.0,0,0.0,268,36.5
Zane Smith,24,24,29,5,30,25,-9,117,126,6,5.1,1,7,2.6,0,0.0,268,45.1
Daniel Hemric,33,33,30,3,37,31,3,112,109,7,6.3,1,7,2.6,0,0.0,268,35.6
Derek Kraus,38,35,31,1,38,33,-4,62,66,5,8.1,29,16,6.0,6,2.2,268,40.3
Ty Gibbs,6,3,32,2,32,9,-23,60,83,27,45.0,7,205,76.8,0,0.0,267,80.2
Austin Hill,34,32,33,2,37,32,-4,100,104,5,5.0,0,4,1.5,0,0.0,267,28.7
Joey Logano,11,21,34,10,35,23,-10,76,86,15,19.7,2,28,10.5,0,0.0,266,52.3
Riley Herbst,37,38,35,27,38,36,2,33,31,0,0.0,0,0,0.0,0,0.0,266,26.7
Harrison Burton,31,36,36,5,38,35,-2,76,78,5,6.6,0,2,0.8,0,0.0,262,25.5
Austin Cindric,7,16,37,5,29,21,-12,70,82,24,34.3,1,104,56.5,0,0.0,184,69.4
Jimmie Johnson,19,25,38,8,36,31,-7,94,101,6,6.4,1,5,2.9,0,0.0,175,42.6
