Leader,From Lap,To Lap,# Of Laps
Christopher Bell,1,1,1
Ross Chastain,2,32,31
Christopher Bell,33,35,3
Derek Kraus,36,41,6
Ross Chastain,42,43,2
Kyle Larson,44,44,1
Ross Chastain,45,50,6
Kyle Larson,51,62,12
Denny Hamlin,63,64,2
Kyle Larson,65,65,1
Denny Hamlin,66,83,18
Ross Chastain,84,87,4
Christopher Bell,88,88,1
Kyle Larson,89,118,30
Tyler Reddick,119,125,7
Chris Buescher,126,168,43
Kyle Larson,169,183,15
Kyle Busch,184,197,14
Kyle Larson,198,201,4
Todd Gilliland,202,205,4
Denny Hamlin,206,207,2
Chris Buescher,208,214,7
Denny Hamlin,215,227,13
Chris Buescher,228,228,1
Denny Hamlin,229,262,34
Brad Keselowski,263,263,1
Denny Hamlin,264,265,2
Chris Buescher,266,267,2
Kyle Larson,268,268,1
