Rank,Driver,Points,Diff
1,Kyle Larson,467,
2,Martin Truex Jr,438,-29
3,Chase Elliott,412,-55
4,Denny Hamlin,411,-56
5,Tyler Reddick,374,-93
6,Ryan Blaney,367,-100
7,William Byron,362,-105
8,Ty Gibbs,338,-129
9,Alex Bowman,336,-131
10,Ross Chastain,331,-136
11,Chris Buescher,316,-151
12,Kyle Busch,314,-153
13,Christopher Bell,296,-171
14,Chase Briscoe,290,-177
15,Brad Keselowski,287,-180
16,Bubba Wallace,283,-184
17,Joey Logano,269,-198
18,Daniel Suarez,250,-217
19,Noah Gragson,216,-251
20,Austin Cindric,215,-252
21,John H. Nemechek,205,-262
