Rank,Driver,Wins,Points
1,Martin Truex Jr,3,454
2,William Byron,1,428
3,Joey Logano,1,406
4,Ryan Blaney,1,405
5,Kyle Larson,1,385
6,Brad Keselowski,1,379
7,Kyle Busch,1,373
8,Christopher Bell,1,320
9,Alex Bowman,1,281
10,Michael McDowell,1,278
11,Denny Hamlin,0,529
12,Kevin Harvick,0,385
13,Chase Elliott,0,382
14,Austin Dillon,0,316
15,Chris Buescher,0,287
16,Tyler Reddick,0,268
