Leader,From Lap,To Lap,# Of Laps
Brad Keselowski,1,4,4
Kevin Harvick,5,13,9
Kyle Busch,14,21,8
"Martin Truex, Jr.",22,24,3
Tyler Reddick,25,25,1
Cody Ware,26,26,1
"Martin Truex, Jr.",27,60,34
Tyler Reddick,61,61,1
Ross Chastain,62,71,10
"Martin Truex, Jr.",72,92,21
Denny Hamlin,93,93,1
"Martin Truex, Jr.",94,110,17
Denny Hamlin,111,114,4
"Martin Truex, Jr.",115,144,30
Chris Buescher,145,145,1
Kevin Harvick,146,146,1
Christopher Bell,147,149,3
"Martin Truex, Jr.",150,187,38
Kyle Busch,188,188,1
"Martin Truex, Jr.",189,293,105
