Rank,Driver,Points,Diff
1,Denny Hamlin,529,
2,Martin Truex Jr,454,-75
3,William Byron,428,-101
4,Joey Logano,406,-123
5,Ryan Blaney,405,-124
6,Kyle Larson,385,-144
6,Kevin Harvick,385,-144
8,Chase Elliott,382,-147
9,Brad Keselowski,379,-150
10,Kyle Busch,373,-156
11,Christopher Bell,320,-209
12,Austin Dillon,316,-213
13,Chris Buescher,287,-242
14,Alex Bowman,281,-248
15,Michael McDowell,278,-251
16,Tyler Reddick,268,-261
16,Matt DiBenedetto,268,-261
18,Ricky Stenhouse Jr,249,-280
19,Ryan Newman,246,-283
20,Kurt Busch,240,-289
21,Bubba Wallace,223,-306
