Rank,Driver,Points,Diff
1,Kevin Harvick,721,
2,Ryan Blaney,630,-91
3,Brad Keselowski,615,-106
4,Joey Logano,607,-114
5,Chase Elliott,604,-117
6,Denny Hamlin,578,-143
7,Martin Truex Jr,557,-164
8,Aric Almirola,534,-187
9,Kurt Busch,533,-188
10,Kyle Busch,520,-201
11,Alex Bowman,508,-213
12,Matt DiBenedetto,476,-245
13,Clint Bowyer,461,-260
14,Austin Dillon,428,-293
15,Jimmie Johnson,427,-294
16,William Byron,425,-296
17,Tyler Reddick,413,-308
18,Erik Jones,403,-318
19,Bubba Wallace,351,-370
20,Chris Buescher,341,-380
21,Christopher Bell,325,-396
