Rank,Driver,Wins,Points
1,Kevin Harvick,4,721
2,Denny Hamlin,4,578
3,Brad Keselowski,2,615
4,Joey Logano,2,607
5,Ryan Blaney,1,630
6,Chase Elliott,1,604
7,Martin Truex Jr,1,557
8,Alex Bowman,1,508
9,Austin Dillon,1,428
10,Cole Custer,1,322
11,Aric Almirola,0,534
12,Kurt Busch,0,533
13,Kyle Busch,0,520
14,Matt DiBenedetto,0,476
15,Clint Bowyer,0,461
16,Jimmie Johnson,0,427
