Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,21,3,Austin Dillon,Bass Pro Shops / Tracker Off-Road   (Richard Childress),Chevrolet,334,running,22,40,5
2,24,8,Tyler Reddick,Cat Oil & Gas   (Richard Childress),Chevrolet,334,running,5,42,0
3,9,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,334,running,22,43,0
4,4,18,Kyle Busch,Interstate Batteries   (Joe Gibbs),Toyota,334,running,11,43,0
5,5,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,334,running,40,46,0
6,23,20,Erik Jones,Craftsman   (Joe Gibbs),Toyota,334,running,7,33,0
7,2,12,Ryan Blaney,Menards / Maytag   (Roger Penske),Ford,334,running,150,50,2
8,3,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,334,running,0,41,0
9,6,2,Brad Keselowski,Wurth   (Roger Penske),Ford,334,running,15,28,0
10,1,10,Aric Almirola,Smithfield Hometown Original   (Stewart Haas Racing),Ford,334,running,35,30,0
11,17,14,Clint Bowyer,Rush Truck Centers   (Stewart Haas Racing),Ford,334,running,0,26,0
12,8,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,334,running,0,29,0
13,15,6,Ryan Newman,Wyndham Rewards   (Jack Roush),Ford,334,running,0,24,0
14,14,43,Bubba Wallace,Cash App   (Richard Petty Motorsports),Chevrolet,334,running,0,23,0
15,34,34,Michael McDowell,Love's Travel Stops / Speedco   (Bob Jenkins),Ford,334,running,0,22,0
16,36,32,Corey LaJoie,Trump 2020   (Archie St. Hilaire),Ford,334,running,0,21,0
17,11,21,Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,334,running,1,20,0
18,22,42,Matt Kenseth,McDonald's McDelivery   (Chip Ganassi),Chevrolet,334,running,0,19,0
19,16,17,Chris Buescher,Roush Performance Stage 3   (Jack Roush),Ford,333,running,0,20,0
20,7,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,333,running,11,25,0
21,33,95,Christopher Bell,Rheem / Procore   (Leavine Family Racing),Toyota,331,running,0,16,0
22,28,38,John H. Nemechek,Citgard Heavy Duty Engine Oil   (Bob Jenkins),Ford,331,running,0,15,0
23,37,96,Daniel Suarez,Toyota Certified Used Vehicles   (Gaunt Brothers),Toyota,329,running,0,14,0
24,35,77,J.J. Yeley,Formula One Imports   (Spire Motorsports),Chevrolet,328,running,0,0,0
25,29,27,Gray Gaulding,Panini America   (Rick Ware),Ford,323,running,0,0,0
26,20,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,322,running,0,15,0
27,32,15,Brennan Poole,Spartan Mosquito Pro Tech   (Rick Ware),Chevrolet,322,running,0,10,0
28,40,7,Reed Sorenson,"Gorilla Glue & Tape   (Tommy Baldwin, Jr.)",Chevrolet,322,running,0,9,0
29,10,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,320,running,15,14,0
30,12,88,Alex Bowman,ChevyGoods.com / Adam's Polishes   (Rick Hendrick),Chevrolet,319,crash,0,10,0
31,27,53,Josh Bilicki,Junction Fuels   (Rick Ware),Chevrolet,318,running,0,0,0
32,31,51,Joey Gase,Red Rock Secured   (Rick Ware),Ford,318,running,0,0,0
33,39,78,B.J. McLeod,Axele.com   (B.J. McLeod),Chevrolet,318,running,0,0,0
34,26,00,Quin Houff,Permatex   (StarCom Racing),Chevrolet,295,crash,0,3,0
35,30,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,263,dvp,0,2,0
36,38,66,Timmy Hill,RoofClaim.com   (Carl Long),Toyota,254,electrical,0,0,0
37,18,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,252,crash,0,7,0
38,13,47,Ricky Stenhouse Jr,Kroger / Tyson / Ball Park / NOS   (JTG-Daugherty Racing),Chevrolet,221,crash,0,1,0
39,19,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,219,crash,0,1,0
40,25,37,Ryan Preece,Glad   (JTG-Daugherty Racing),Chevrolet,217,crash,0,1,0
