Leader,From Lap,To Lap,# Of Laps
Aric Almirola,1,25,25
Kevin Harvick,26,55,30
Aric Almirola,56,62,7
"Martin Truex, Jr.",63,67,5
Kyle Busch,68,68,1
Ryan Blaney,69,89,21
Erik Jones,90,94,5
Ryan Blaney,95,112,18
Kyle Busch,113,122,10
Denny Hamlin,123,125,3
Ryan Blaney,126,159,34
Joey Logano,160,167,8
Erik Jones,168,169,2
Kevin Harvick,170,176,7
Aric Almirola,177,179,3
"Martin Truex, Jr.",180,189,10
Ryan Blaney,190,217,28
Brad Keselowski,218,232,15
Denny Hamlin,233,237,5
Ryan Blaney,238,248,11
Denny Hamlin,249,249,1
Ryan Blaney,250,287,38
Denny Hamlin,288,289,2
Matt DiBenedetto,290,290,1
Joey Logano,291,304,14
Kevin Harvick,305,307,3
Tyler Reddick,308,311,4
Austin Dillon,312,323,12
Tyler Reddick,324,324,1
Austin Dillon,325,334,10
