Leader,From Lap,To Lap,# Of Laps
Kyle Larson,1,1,1
Alex Bowman,2,10,9
Kyle Larson,11,12,2
Christopher Bell,13,20,8
Kyle Larson,21,23,3
Christopher Bell,24,34,11
Aric Almirola,35,35,1
Alex Bowman,36,37,2
Christopher Bell,38,38,1
Travis Pastrana,39,40,2
Denny Hamlin,41,41,1
Chase Briscoe,42,42,1
Denny Hamlin,43,47,5
Chase Briscoe,48,51,4
Martin Truex Jr,52,64,13
Brad Keselowski,65,67,3
Ryan Preece,68,71,4
Brad Keselowski,72,72,1
Aric Almirola,73,73,1
Brad Keselowski,74,76,3
Aric Almirola,77,79,3
Brad Keselowski,80,80,1
Aric Almirola,81,81,1
Brad Keselowski,82,108,27
Kevin Harvick,109,109,1
Joey Logano,110,110,1
Ryan Blaney,111,111,1
Joey Logano,112,115,4
Chris Buescher,116,116,1
Joey Logano,117,117,1
Chris Buescher,118,121,4
Joey Logano,122,125,4
Ross Chastain,126,126,1
Joey Logano,127,127,1
Ross Chastain,128,132,5
Alex Bowman,133,133,1
Bubba Wallace,134,137,4
Aric Almirola,138,142,5
Bubba Wallace,143,143,1
Aric Almirola,144,145,2
Chris Buescher,146,146,1
Aric Almirola,147,148,2
Chris Buescher,149,153,5
Aric Almirola,154,154,1
Chris Buescher,155,175,21
Daniel Suarez,176,178,3
Harrison Burton,179,187,9
Joey Logano,188,188,1
A.J. Allmendinger,189,189,1
Brad Keselowski,190,196,7
Kyle Busch,197,202,6
Ricky Stenhouse Jr,203,212,10
