Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,31,47,Ricky Stenhouse Jr,Kroger/Cottonelle   (JTG-Daugherty Racing),Chevrolet,212,running,10,48,5
2,3,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,212,running,12,52,0
3,5,20,Christopher Bell,DeWalt - Rheem   (Joe Gibbs),Toyota,212,running,20,44,0
4,9,17,Chris Buescher,Fastenal   (Jack Roush),Ford,212,running,32,50,0
5,1,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,212,running,12,41,0
6,29,16,A.J. Allmendinger,Nutrien Ag Solutions   (Matthew Kaulig),Chevrolet,212,running,1,34,0
7,24,99,Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,212,running,3,30,0
8,7,12,Ryan Blaney,MenardsBlue DEFPEAK   (Roger Penske),Ford,212,running,1,37,0
9,23,1,Ross Chastain,AdventHealth   (Trackhouse Racing),Chevrolet,212,running,6,38,1
10,38,15,Riley Herbst,SunnyD   (Rick Ware),Ford,212,running,0,0,0
11,40,67,Travis Pastrana,Black Rifle Coffee   (23XI Racing),Toyota,212,running,2,26,0
12,13,4,Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,212,running,1,37,0
13,17,36,Zane Smith,Wellcare   (Bob Jenkins),Ford,212,running,0,3,0
14,35,51,Cody Ware,Biohaven/Jacob Co.   (Rick Ware),Ford,212,running,0,23,0
15,16,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,212,running,13,32,0
16,12,7,Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,212,running,0,27,0
17,18,11,Denny Hamlin,FedEx 50   (Joe Gibbs),Toyota,212,running,6,22,0
18,2,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,211,crash,6,24,0
19,36,8,Kyle Busch,3CHI   (Richard Childress),Chevrolet,211,crash,6,18,0
20,15,23,Bubba Wallace,McDonald's   (23XI Racing),Toyota,211,crash,5,21,0
21,4,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,211,crash,16,29,0
22,10,6,Brad Keselowski,Nexlizet   (Jack Roush),Ford,211,crash,42,32,1
23,6,2,Austin Cindric,Discount Tire   (Roger Penske),Ford,210,crash,0,29,0
24,22,42,Noah Gragson,Wendy's   (Legacy Motor Club),Chevrolet,210,running,0,13,0
25,33,54,Ty Gibbs,Monster Energy â€“ Interstate Batteries   (Joe Gibbs),Toyota,210,running,0,17,0
26,19,21,Harrison Burton,Motorcraft  Dex Imaging   (Wood Brothers),Ford,210,running,9,13,0
27,14,38,Todd Gilliland,gener8tor Skills   (Bob Jenkins),Ford,208,crash,0,15,0
28,11,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,208,running,0,21,0
29,34,50,Conor Daly,Bitnile.com   (TMT Racing),Chevrolet,206,running,0,0,0
30,32,78,B.J. McLeod,Power Slap Rumble   (B.J. McLeod),Chevrolet,204,running,0,7,0
31,39,84,Jimmie Johnson,Carvana   (Legacy Motor Club),Chevrolet,203,crash,0,10,0
32,28,31,Justin Haley,Cirkul   (Matthew Kaulig),Chevrolet,203,crash,0,5,0
33,27,3,Austin Dillon,Bass Pro Shops Club   (Richard Childress),Chevrolet,202,crash,0,4,0
34,21,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,202,crash,0,7,0
35,30,14,Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,182,crash,5,2,0
36,20,41,Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,181,crash,4,11,0
37,25,43,Erik Jones,GUNS Nâ€™ ROSES   (Legacy Motor Club),Chevrolet,118,crash,0,1,0
38,8,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,118,crash,0,9,0
39,26,45,Tyler Reddick,Monster Energy   (23XI Racing),Toyota,117,crash,0,1,0
40,37,77,Ty Dillon,Ferris   (Spire Motorsports),Chevrolet,26,engine,0,1,0
