Rank,Driver,Wins,Points
1,Ricky Stenhouse Jr,1,48
2,Chris Buescher,0,43
3,Joey Logano,0,42
4,Alex Bowman,0,41
5,Ross Chastain,0,38
6,Christopher Bell,0,35
7,A.J. Allmendinger,0,34
8,Kevin Harvick,0,32
9,Daniel Suarez,0,30
10,Martin Truex Jr,0,29
10,Ryan Blaney,0,29
12,Travis Pastrana,0,26
13,Brad Keselowski,0,25
14,Cody Ware,0,23
15,Corey LaJoie,0,21
16,Denny Hamlin,0,20
